invoice_record_id,claim_id,invoice_no,invoice_date,seller_name,invoice_amount_cny,invoice_valid,attachment_file,duplicate_scope,duplicate_reference
IR-001,BX-41001,INV-H-41001,2026-05-03,南京中心酒店,580,true,receipt_BX-41001.pdf,无,
IR-002,BX-41002,INV-H-41002,2026-05-14,上海浦东会展酒店,720,true,receipt_BX-41002.pdf,无,
IR-003,BX-41003,INV-F-41003,2026-05-05,华航票务,1680,true,receipt_BX-41003.pdf,无,
IR-004,BX-41004,INV-M-41004,2026-05-07,杭州湖滨小馆,420,true,receipt_BX-41004.pdf,无,
IR-005,BX-41005,INV-T-41005,2026-05-08,上海城市出行,86,true,receipt_BX-41005.pdf,无,
IR-006,BX-41120,INV-R-41120,2026-05-10,铁路客运,553,true,receipt_BX-41120.pdf,无,
IR-007,BX-41208,INV-H-41208,2026-05-11,成都高新酒店,540,true,receipt_BX-41208.pdf,无,
IR-008,BX-41315,INV-M-41315,2026-05-12,南京金陵餐厅,680,true,receipt_BX-41315.pdf,无,
IR-009,BX-41403,INV-O-41403,2026-05-13,宁苏办公用品,320,true,receipt_BX-41403.pdf,无,
IR-010,BX-41509,INV-T-41509,2026-05-15,深圳城市出行,142,true,receipt_BX-41509.pdf,无,
IR-011,BX-41610,INV-O-77821,2026-05-16,北京星辉办公,1280,true,scan_41610.pdf,本公司跨报销单,BX-41902
IR-012,BX-41704,INV-H-41704,2026-05-17,杭州西湖商务酒店,590,true,receipt_BX-41704.pdf,无,
IR-013,BX-41735,INV-R-41735,2026-05-17,铁路客运,728,true,receipt_BX-41735.pdf,无,
IR-014,BX-42017,INV-T-42017,2026-05-18,长三角商务出行,468,true,receipt_BX-42017.pdf,第三方发票平台,EXT-COMPANY-7781
IR-015,BX-41881,INV-S-41881,2026-05-21,苏州启航资料服务中心,1960,true,receipt_BX-41881.pdf,无,
IR-016,BX-41882,INV-S-41882,2026-05-21,苏州启航资料服务中心,1980,true,receipt_BX-41882.pdf,无,
IR-017,BX-41883,INV-S-41883,2026-05-22,苏州启航资料服务中心,1950,true,receipt_BX-41883.pdf,无,
IR-018,BX-41884,INV-S-41884,2026-05-22,苏州启航资料服务中心,1990,true,receipt_BX-41884.pdf,无,
IR-019,BX-41902,INV-O-77821,2026-05-22,北京星辉办公,1280,true,office_may_copy.pdf,本公司跨报销单,BX-41610
IR-020,BX-42110,INV-M-42110,2026-05-22,南京中央路餐厅,360,true,receipt_BX-42110.pdf,无,
IR-021,BX-42306,INV-T-42306,2026-05-23,成都快行出租,86,true,receipt_BX-42306.png,无,
IR-022,BX-42401,INV-F-42401,2026-05-23,华航票务,2200,true,receipt_BX-42401.pdf,无,
IR-023,BX-42519,INV-M-42519,2026-05-24,上海欢乐时光餐厅,988,true,receipt_BX-42519.pdf,无,
IR-024,BX-42611,INV-H-42611,2026-05-25,苏州工业园酒店,560,true,receipt_BX-42611.pdf,无,
IR-025,BX-42702,INV-F-42702,2026-05-27,华航票务,5480,true,receipt_BX-42702.pdf,无,
IR-026,BX-42820,INV-T-42820,2026-05-28,南京城市出行,118,true,receipt_BX-42820.pdf,无,
