claim_id,employee_id,claim_date,expense_type,amount_cny,merchant_id,merchant_name,city,description,trip_id,invoice_no,approval_id,attachment_file,teaching_case
BX-41001,E1005,2026-05-03,住宿,580,V101,南京中心酒店,南京,月结支持,T1001,INV-H-41001,,receipt_BX-41001.pdf,正常
BX-41002,E1003,2026-05-14,住宿,720,V102,上海浦东会展酒店,上海,参加工业博览会,T1002,INV-H-41002,AP-SPECIAL-017,receipt_BX-41002.pdf,B-合理例外
BX-41003,E1006,2026-05-05,机票,1680,V401,华航票务,深圳,北京至深圳项目出差,T1003,INV-F-41003,AP-41003,receipt_BX-41003.pdf,正常
BX-41004,E1001,2026-05-07,客户餐费,420,V501,杭州湖滨小馆,杭州,与华东零售客户沟通,T1004,INV-M-41004,,receipt_BX-41004.pdf,正常
BX-41005,E1008,2026-05-08,出租车,86,V601,上海城市出行,上海,研发中心至客户现场,T1005,INV-T-41005,,receipt_BX-41005.pdf,正常
BX-41120,E1002,2026-05-10,高铁,553,V402,铁路客运,苏州,上海至苏州项目出差,T1006,INV-R-41120,,receipt_BX-41120.pdf,正常
BX-41208,E1007,2026-05-11,住宿,540,V103,成都高新酒店,成都,供应商现场核验,T1007,INV-H-41208,,receipt_BX-41208.pdf,正常
BX-41315,E1004,2026-05-12,客户餐费,680,V502,南京金陵餐厅,南京,客户项目晚餐,T1008,INV-M-41315,AP-41315,receipt_BX-41315.pdf,正常
BX-41403,E1005,2026-05-13,办公用品,320,V201,宁苏办公用品,南京,财务档案盒与标签,,INV-O-41403,,receipt_BX-41403.pdf,正常
BX-41509,E1006,2026-05-15,出租车,142,V602,深圳城市出行,深圳,机场至项目现场,T1003,INV-T-41509,,receipt_BX-41509.pdf,正常
BX-41610,E1008,2026-05-16,办公用品,1280,V205,北京星辉办公,北京,研发项目耗材,,INV-O-77821,AP-41610,scan_41610.pdf,A-重复发票
BX-41704,E1001,2026-05-17,住宿,590,V104,杭州西湖商务酒店,杭州,零售客户拜访,T1010,INV-H-41704,,receipt_BX-41704.pdf,正常
BX-41735,E1003,2026-05-17,高铁,728,V402,铁路客运,上海,北京至上海采购谈判,T1011,INV-R-41735,AP-41735,receipt_BX-41735.pdf,正常
BX-42017,E1004,2026-05-18,出租车,468,V603,长三角商务出行,苏州,上海机场至苏州客户,T2017,INV-T-42017,AP-42017,receipt_BX-42017.pdf,F-行程矛盾
BX-41881,E1002,2026-05-21,材料费,1960,V301,苏州启航资料服务中心,苏州,项目资料整理一期,T2021,INV-S-41881,,receipt_BX-41881.pdf,C-拆分报销
BX-41882,E1002,2026-05-21,材料费,1980,V301,苏州启航资料服务中心,苏州,项目资料整理二期,T2021,INV-S-41882,,receipt_BX-41882.pdf,C-拆分报销
BX-41883,E1002,2026-05-22,材料费,1950,V301,苏州启航资料服务中心,苏州,项目资料扫描一期,T2021,INV-S-41883,,receipt_BX-41883.pdf,C-拆分报销
BX-41884,E1002,2026-05-22,材料费,1990,V301,苏州启航资料服务中心,苏州,项目资料扫描二期,T2021,INV-S-41884,,receipt_BX-41884.pdf,C-拆分报销
BX-41902,E1007,2026-05-22,办公用品,1280,V205,北京星辉办公,北京,运营中心耗材,,INV-O-77821,AP-41902,office_may_copy.pdf,A-重复发票
BX-42110,E1005,2026-05-22,工作餐,360,V503,南京中央路餐厅,南京,月末结账加班餐,,INV-M-42110,,receipt_BX-42110.pdf,正常
BX-42306,E1007,2026-05-23,出租车,286,V604,成都快行出租,成都,市内交通,T2023,INV-T-42306,,receipt_BX-42306.png,D-票据修改
BX-42401,E1006,2026-05-23,机票,2200,V401,华航票务,广州,紧急项目支持,T2024,INV-F-42401,AP-42401,receipt_BX-42401.pdf,正常
BX-42519,E1001,2026-05-24,客户招待,988,V505,上海欢乐时光餐厅,上海,客户沟通,T2025,INV-M-42519,AP-42519,receipt_BX-42519.pdf,E-个人消费伪装
BX-42611,E1003,2026-05-25,住宿,560,V105,苏州工业园酒店,苏州,供应商审查,T2026,INV-H-42611,,receipt_BX-42611.pdf,正常
BX-42702,E1008,2026-05-27,机票,5480,V401,华航票务,北京,海外研发会议转国内返程,T2027,INV-F-42702,AP-42702,receipt_BX-42702.pdf,正常
BX-42820,E1005,2026-05-28,出租车,118,V605,南京城市出行,南京,银行函证现场办理,T2028,INV-T-42820,,receipt_BX-42820.pdf,正常
