approval_id,claim_id,approval_type,approval_status,approver_id,approval_time,approved_limit_cny,special_exception,exception_basis
AP-SPECIAL-017,BX-41002,会展期住宿例外,已批准,M9003,2026-05-08T10:20:00,800,true,POLICY-NOTICE-2026-05
AP-41003,BX-41003,差旅申请,已批准,M9002,2026-05-01T09:10:00,2500,false,POLICY-TRAVEL-2026
AP-41315,BX-41315,客户招待,已批准,M9004,2026-05-12T16:10:00,800,false,POLICY-EXPENSE-2026
AP-41610,BX-41610,采购审批,已批准,M9007,2026-05-15T14:02:00,1500,false,POLICY-EXPENSE-2026
AP-41735,BX-41735,差旅申请,已批准,M9003,2026-05-14T11:30:00,1000,false,POLICY-TRAVEL-2026
AP-41902,BX-41902,采购审批,已批准,M9006,2026-05-21T16:45:00,1500,false,POLICY-EXPENSE-2026
AP-42017,BX-42017,差旅申请,已批准,M9004,2026-05-16T15:30:00,600,false,POLICY-TRAVEL-2026
AP-42401,BX-42401,紧急差旅,已批准,M9002,2026-05-22T08:40:00,3000,true,PROJECT-URGENT-24
AP-42519,BX-42519,客户招待,已批准,M9001,2026-05-23T19:10:00,1200,false,POLICY-EXPENSE-2026
AP-42702,BX-42702,国际行程衔接,已批准,M9007,2026-05-19T10:00:00,6000,true,TRIP-INTL-2027
